zcta,total_population,median_household_income
02703,46479,93352.0
02713,42,78750.0
02715,3778,137500.0
02717,4777,143281.0
02718,7125,107570.0
02719,15878,92500.0
02720,31063,62907.0
02721,25922,50666.0
02723,17111,41789.0
02724,18758,49809.0
02725,2300,127228.0
02726,15946,110427.0
02738,5312,120227.0
02739,6563,117308.0
02740,46336,54563.0
02743,10476,90683.0
02744,12549,54841.0
02745,25013,73154.0
02746,16791,41023.0
02747,21500,97665.0
02748,11501,105455.0
02760,29078,109350.0
02762,9872,95625.0
02763,1764,109970.0
02764,4344,140135.0
02766,19155,127404.0
02767,15337,119550.0
02769,12809,126161.0
02770,5716,119164.0
02771,15573,116310.0
02777,17231,116627.0
02779,6789,123877.0
02780,52530,75054.0
02790,16725,100617.0
02791,316,104712.0
02802,531,125522.0
02804,2661,101392.0
02806,17113,150542.0
02807,829,72450.0
02808,2561,94712.0
02809,22317,96005.0
02812,1432,111711.0
02813,8017,103147.0
02814,7421,109632.0
02815,178,209050.0
02816,33246,97941.0
02817,6598,137485.0
02818,19869,120952.0
02822,6139,87185.0
02823,20,
02824,375,158438.0
02825,5861,110177.0
02826,615,75347.0
02827,2441,135139.0
02828,7058,94746.0
02829,63,
02830,6936,121611.0
02831,3665,135106.0
02832,4950,101225.0
02833,662,
02835,5545,141442.0
02836,47,
02837,3601,129750.0
02838,4007,82075.0
02839,1690,100906.0
02840,23615,83515.0
02841,1414,
02842,16920,97650.0
02852,23269,112457.0
02857,8095,108813.0
02858,280,92016.0
02859,6803,118662.0
02860,47372,59954.0
02861,27928,83044.0
02863,22481,45921.0
02864,36383,118737.0
02865,18033,117042.0
02871,17635,119135.0
02872,105,132969.0
02873,89,
02874,6715,155099.0
02875,206,88469.0
02876,444,33008.0
02878,16260,99542.0
02879,22628,115848.0
02881,7183,
02882,12984,95794.0
02885,11138,89722.0
02886,30925,91037.0
02888,18951,88750.0
02889,27533,85617.0
02891,21698,90435.0
02892,5704,143534.0
02893,31025,73903.0
02894,554,
02895,43081,58579.0
02896,11683,109436.0
02898,1745,124083.0
02903,12309,62987.0
02904,32462,64637.0
02905,24780,57126.0
02906,26327,102796.0
02907,31427,49564.0
02908,39661,74341.0
02909,44445,63950.0
02910,23406,85909.0
02911,14963,85803.0
02912,4824,
02914,21397,60838.0
02915,16848,90558.0
02916,8725,96293.0
02917,15068,106772.0
02918,2944,
02919,29473,87811.0
02920,36332,79246.0
02921,12673,135500.0
03031,11873,155125.0
03032,6031,146290.0
03033,5697,165942.0
03034,4197,122356.0
03036,5263,138606.0
03037,4791,126063.0
03038,34622,104306.0
03042,7300,101354.0
03043,1347,96094.0
03044,4783,125774.0
03045,14013,114965.0
03046,3055,134205.0
03047,1816,99038.0
03048,3414,90938.0
03049,8530,156140.0
03051,25476,124973.0
03052,8495,155881.0
03053,25930,132241.0
03054,27604,128897.0
03055,16258,94514.0
03057,2630,160250.0
03060,32223,78068.0
03062,28713,102849.0
03063,15630,106924.0
03064,14565,91528.0
03070,6143,151296.0
03071,5274,100417.0
03076,14333,126804.0
03077,10837,92002.0
03079,30646,101339.0
03082,1676,111016.0
03084,1367,86528.0
03086,4183,117732.0
03087,15922,189450.0
03101,3148,80483.0
03102,33755,69927.0
03103,37659,70049.0
03104,35274,84513.0
03106,14923,107137.0
03109,10118,108060.0
03110,23580,160253.0
03215,269,103333.0
03216,2105,86875.0
03217,2207,54495.0
03218,1202,97669.0
03220,7376,78151.0
03221,2210,92083.0
03222,6135,78535.0
03223,3398,109801.0
