City,State,station_count,total_ports,city_state
Sandy Springs,GA,34,71,"Sandy Springs, GA"
Franklin,TN,34,80,"Franklin, TN"
Bloomington,MN,34,106,"Bloomington, MN"
East Lyme,CT,34,89,"East Lyme, CT"
Orem,UT,34,71,"Orem, UT"
Wilmington,NC,34,95,"Wilmington, NC"
Kennewick,WA,34,78,"Kennewick, WA"
Holland,MI,34,92,"Holland, MI"
Woodland,CA,34,126,"Woodland, CA"
Canandaigua,NY,34,94,"Canandaigua, NY"
Visalia,CA,34,110,"Visalia, CA"
Katy,TX,34,129,"Katy, TX"
Wilmington,MA,34,66,"Wilmington, MA"
Augusta,ME,34,81,"Augusta, ME"
Falls Church,VA,34,89,"Falls Church, VA"
Mooresville,NC,34,64,"Mooresville, NC"
Marina,CA,33,76,"Marina, CA"
Medford,MA,33,83,"Medford, MA"
Liverpool,NY,33,175,"Liverpool, NY"
St. Helena,CA,33,69,"St. Helena, CA"
Redlands,CA,33,133,"Redlands, CA"
Bradenton,FL,33,111,"Bradenton, FL"
Hollywood,FL,33,178,"Hollywood, FL"
Auburn,CA,33,86,"Auburn, CA"
Downey,CA,33,170,"Downey, CA"
Arlington,TX,33,94,"Arlington, TX"
Goleta,CA,33,73,"Goleta, CA"
Atlantic City,NJ,33,54,"Atlantic City, NJ"
Monroeville,PA,33,71,"Monroeville, PA"
Myrtle Beach,SC,33,101,"Myrtle Beach, SC"
Augusta,GA,33,118,"Augusta, GA"
Bethlehem,PA,33,92,"Bethlehem, PA"
Vista,CA,33,144,"Vista, CA"
Bentonville,AR,32,107,"Bentonville, AR"
Milford,CT,32,83,"Milford, CT"
Bronx,NY,32,175,"Bronx, NY"
Bothell,WA,32,99,"Bothell, WA"
Bridgewater,MA,32,81,"Bridgewater, MA"
Lakeland,FL,32,93,"Lakeland, FL"
Sioux Falls,SD,32,115,"Sioux Falls, SD"
Montgomery,AL,32,113,"Montgomery, AL"
Macon,GA,32,86,"Macon, GA"
Williamsburg,VA,32,76,"Williamsburg, VA"
Olympia,WA,32,75,"Olympia, WA"
San Marcos,CA,32,85,"San Marcos, CA"
Lexington,KY,32,93,"Lexington, KY"
Sanford,FL,32,80,"Sanford, FL"
Fontana,CA,32,85,"Fontana, CA"
Thornton,CO,32,80,"Thornton, CO"
St. Augustine,FL,32,125,"St. Augustine, FL"
Pueblo,CO,32,76,"Pueblo, CO"
Vail,CO,32,64,"Vail, CO"
Tigard,OR,31,95,"Tigard, OR"
King Of Prussia,PA,31,101,"King Of Prussia, PA"
Mobile,AL,31,73,"Mobile, AL"
Milwaukie,OR,31,38,"Milwaukie, OR"
Palm Desert,CA,31,144,"Palm Desert, CA"
Edison,NJ,31,96,"Edison, NJ"
Newberg,OR,31,53,"Newberg, OR"
Harrisburg,PA,31,104,"Harrisburg, PA"
Herndon,VA,31,90,"Herndon, VA"
Lewisville,TX,31,73,"Lewisville, TX"
Victorville,CA,31,121,"Victorville, CA"
Rocklin,CA,31,94,"Rocklin, CA"
Plattsburgh,NY,31,105,"Plattsburgh, NY"
Pigeon Forge,TN,31,75,"Pigeon Forge, TN"
Joplin,MO,31,89,"Joplin, MO"
Lehi,UT,31,81,"Lehi, UT"
San Ramon,CA,31,213,"San Ramon, CA"
Brentwood,CA,31,99,"Brentwood, CA"
Lakewood,CO,31,130,"Lakewood, CO"
Newark,DE,31,112,"Newark, DE"
Newark,CA,31,134,"Newark, CA"
National City,CA,30,57,"National City, CA"
Brentwood,TN,30,76,"Brentwood, TN"
College Park,GA,30,91,"College Park, GA"
Puyallup,WA,30,78,"Puyallup, WA"
Placerville,CA,30,104,"Placerville, CA"
Corvallis,OR,30,70,"Corvallis, OR"
Queensbury,NY,30,97,"Queensbury, NY"
Pensacola,FL,30,102,"Pensacola, FL"
Hagerstown,MD,30,96,"Hagerstown, MD"
Grand Prairie,TX,30,109,"Grand Prairie, TX"
Gaithersburg,MD,30,92,"Gaithersburg, MD"
Meriden,CT,30,94,"Meriden, CT"
Gilroy,CA,30,118,"Gilroy, CA"
Medford,OR,30,85,"Medford, OR"
Fayetteville,GA,30,70,"Fayetteville, GA"
Cedar Rapids,IA,30,73,"Cedar Rapids, IA"
Brighton,CO,30,66,"Brighton, CO"
Chapel Hill,NC,29,107,"Chapel Hill, NC"
Lexington,MA,29,92,"Lexington, MA"
Riverhead,NY,29,80,"Riverhead, NY"
Marietta,GA,29,100,"Marietta, GA"
Ashland,OR,29,101,"Ashland, OR"
Palmdale,CA,29,123,"Palmdale, CA"
Steamboat Springs,CO,29,64,"Steamboat Springs, CO"
Buford,GA,29,118,"Buford, GA"
Laurel,MD,29,97,"Laurel, MD"
Staten Island,NY,29,70,"Staten Island, NY"
Richmond,CA,29,91,"Richmond, CA"
Glenwood Springs,CO,29,63,"Glenwood Springs, CO"
Baldwinsville,NY,29,134,"Baldwinsville, NY"
Sandy,UT,29,62,"Sandy, UT"
Round Rock,TX,29,86,"Round Rock, TX"
Lubbock,TX,28,76,"Lubbock, TX"
Hoboken,NJ,28,46,"Hoboken, NJ"
Webster,NY,28,65,"Webster, NY"
Plymouth,MA,28,63,"Plymouth, MA"
Murfreesboro,TN,28,86,"Murfreesboro, TN"
Middletown,NY,28,108,"Middletown, NY"
Maplewood,MN,28,55,"Maplewood, MN"
Zeeland,MI,28,53,"Zeeland, MI"
Newport News,VA,28,104,"Newport News, VA"
Edina,MN,28,72,"Edina, MN"
Normal,IL,28,90,"Normal, IL"
Rancho Cordova,CA,28,96,"Rancho Cordova, CA"
Northridge,CA,28,75,"Northridge, CA"
Natick,MA,28,83,"Natick, MA"
Everett,WA,28,104,"Everett, WA"
Joliet,IL,28,100,"Joliet, IL"
Bloomington,IN,28,107,"Bloomington, IN"
Montebello,CA,28,112,"Montebello, CA"
Englewood,CO,28,94,"Englewood, CO"
Blacksburg,VA,28,71,"Blacksburg, VA"
Sedona,AZ,28,89,"Sedona, AZ"
Lodi,CA,28,56,"Lodi, CA"
Lake Placid,NY,28,77,"Lake Placid, NY"
Barnstable,MA,28,54,"Barnstable, MA"
Springfield,IL,28,106,"Springfield, IL"
Danbury,CT,28,62,"Danbury, CT"
Watsonville,CA,27,75,"Watsonville, CA"
Fargo,ND,27,81,"Fargo, ND"
Chesapeake,VA,27,83,"Chesapeake, VA"
Branford,CT,27,51,"Branford, CT"
Concord,CA,27,117,"Concord, CA"
Lafayette,CO,27,62,"Lafayette, CO"
Rancho Cucamonga,CA,27,65,"Rancho Cucamonga, CA"
Clovis,CA,27,104,"Clovis, CA"
Greenfield,MA,27,61,"Greenfield, MA"
Marysville,OH,27,61,"Marysville, OH"
Greenville,NC,27,56,"Greenville, NC"
Mckinney,TX,27,78,"Mckinney, TX"
El Monte,CA,27,80,"El Monte, CA"
Miami Lakes,FL,27,54,"Miami Lakes, FL"
Roanoke,VA,27,84,"Roanoke, VA"
Woodburn,OR,27,52,"Woodburn, OR"
Owings Mills,MD,27,74,"Owings Mills, MD"
Lake Forest,CA,27,78,"Lake Forest, CA"
Claremont,CA,27,54,"Claremont, CA"
Danvers,MA,27,61,"Danvers, MA"
Truckee,CA,27,103,"Truckee, CA"
Denton,TX,26,81,"Denton, TX"
Green Bay,WI,26,53,"Green Bay, WI"
Lafayette,IN,26,78,"Lafayette, IN"
Palm Beach Gardens,FL,26,102,"Palm Beach Gardens, FL"
Fredericksburg,VA,26,85,"Fredericksburg, VA"
Santee,CA,26,79,"Santee, CA"
Pomona,CA,26,160,"Pomona, CA"
Andover,MA,26,58,"Andover, MA"
Acton,MA,26,61,"Acton, MA"
Richardson,TX,26,117,"Richardson, TX"
Yakima,WA,26,73,"Yakima, WA"
Lees Summit,MO,26,53,"Lees Summit, MO"
Fayetteville,AR,26,86,"Fayetteville, AR"
Lone Tree,CO,26,105,"Lone Tree, CO"
Amarillo,TX,25,111,"Amarillo, TX"
Glendale,AZ,25,102,"Glendale, AZ"
North Charleston,SC,25,67,"North Charleston, SC"
Larkspur,CA,25,57,"Larkspur, CA"
Avon,CO,25,48,"Avon, CO"
Watervliet,NY,25,52,"Watervliet, NY"
Gastonia,NC,25,63,"Gastonia, NC"
Upper Marlboro,MD,25,85,"Upper Marlboro, MD"
Binghamton,NY,25,87,"Binghamton, NY"
Mission Viejo,CA,25,75,"Mission Viejo, CA"
Cohoes,NY,25,68,"Cohoes, NY"
Altamont,NY,25,32,"Altamont, NY"
Norwalk,CT,25,101,"Norwalk, CT"
Boynton Beach,FL,25,78,"Boynton Beach, FL"
Oxon Hill,MD,25,68,"Oxon Hill, MD"
Dania Beach,FL,25,54,"Dania Beach, FL"
Chelmsford,MA,25,62,"Chelmsford, MA"
Hudson,NY,25,88,"Hudson, NY"
Wellesley,MA,25,50,"Wellesley, MA"
Schaumburg,IL,25,62,"Schaumburg, IL"
South Portland,ME,25,53,"South Portland, ME"
Niagara Falls,NY,25,83,"Niagara Falls, NY"
Madison,NJ,25,47,"Madison, NJ"
Leawood,KS,24,44,"Leawood, KS"
Kailua-kona,HI,24,53,"Kailua-kona, HI"
Dartmouth,MA,24,60,"Dartmouth, MA"
New Castle,DE,24,103,"New Castle, DE"
Montpelier,VT,24,52,"Montpelier, VT"
Carson City,NV,24,62,"Carson City, NV"
Avondale,AZ,24,72,"Avondale, AZ"
Wakefield,MA,24,46,"Wakefield, MA"
Lake George,NY,24,84,"Lake George, NY"
Storrs,CT,24,94,"Storrs, CT"
Monterey,CA,24,55,"Monterey, CA"
Dunwoody,GA,24,75,"Dunwoody, GA"
Kahului,HI,24,56,"Kahului, HI"
Erie,PA,24,67,"Erie, PA"
Sherman,TX,24,48,"Sherman, TX"
Canton,GA,24,50,"Canton, GA"
Concord,NC,24,79,"Concord, NC"
Fairfield,CT,24,77,"Fairfield, CT"
Loma Linda,CA,24,48,"Loma Linda, CA"
Evanston,IL,24,61,"Evanston, IL"
Cerritos,CA,24,71,"Cerritos, CA"
Carmel,IN,24,67,"Carmel, IN"
Holyoke,MA,24,65,"Holyoke, MA"
Whittier,CA,24,118,"Whittier, CA"
Sonoma,CA,24,49,"Sonoma, CA"
Jackson,MI,24,65,"Jackson, MI"
Summerville,SC,24,64,"Summerville, SC"
York,PA,24,66,"York, PA"
Millbrae,CA,23,51,"Millbrae, CA"
Rensselaer,NY,23,62,"Rensselaer, NY"
Venice,FL,23,62,"Venice, FL"
Cartersville,GA,23,38,"Cartersville, GA"
Pismo Beach,CA,23,66,"Pismo Beach, CA"
St. Louis Park,MN,23,65,"St. Louis Park, MN"
Delmar,NY,23,70,"Delmar, NY"
Emeryville,CA,23,78,"Emeryville, CA"
Kennesaw,GA,23,75,"Kennesaw, GA"
Mcallen,TX,23,47,"Mcallen, TX"
Melrose,MA,23,39,"Melrose, MA"
Utica,NY,23,131,"Utica, NY"
Tukwila,WA,23,83,"Tukwila, WA"
Poulsbo,WA,23,49,"Poulsbo, WA"
Madera,CA,23,80,"Madera, CA"
Manchester,NH,23,56,"Manchester, NH"
Roseburg,OR,23,52,"Roseburg, OR"
